# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.388763475222e-10       8.307634160629e-09       4.572450713902e-10 
    3       1.312631597582e-10       5.101021646429e-09       3.233449653959e-10 
    4       1.241226655866e-10       3.532106738058e-09       2.443916029616e-10 
    5       1.187804554575e-10       2.627879040263e-09       1.928017443633e-10 
    6       1.151143498556e-10       2.047254279774e-09       1.567091859445e-10 
    7       1.127214944764e-10       1.647880177040e-09       1.302437571980e-10 
    8       1.113192194417e-10       1.359339318931e-09       1.101924003371e-10 
    9       1.106576959692e-10       1.142868499404e-09       9.465108439880e-11 
   10       1.105050329010e-10       9.755784468021e-10       8.234848683510e-11 
   11       1.108015697656e-10       8.351365138867e-10       7.314481389758e-11 
   12       1.113952086436e-10       7.298455435266e-10       6.467302217342e-11 
   13       1.122351154828e-10       6.433919815436e-10       5.779277309325e-11 
   14       1.132731529308e-10       5.714508126848e-10       5.180026083620e-11 
   15       1.144962657383e-10       5.108893659940e-10       4.675989356450e-11 
   16       1.158294692857e-10       4.593898284178e-10       4.241585692897e-11 
   17       1.172995074094e-10       4.152049094116e-10       3.862493368660e-11 
   18       1.188433312828e-10       3.768534890733e-10       3.531850950620e-11 
   19       1.204723078075e-10       3.437164390153e-10       3.244922695886e-11 
   20       1.221789116865e-10       3.145306007850e-10       2.990247658037e-11 
   21       1.239643924794e-10       2.888368976527e-10       2.763208356291e-11 
   22       1.258026193301e-10       2.660167039804e-10       2.558086553538e-11 
   23       1.276999405309e-10       2.457645551410e-10       2.374031532367e-11 
   24       1.296505258100e-10       2.276180908750e-10       2.209381093637e-11 
   25       1.316491596871e-10       2.113311788449e-10       2.061907915923e-11 
   26       1.336781444589e-10       1.965850936874e-10       1.927918861244e-11 
   27       1.357470981540e-10       1.833033908943e-10       1.806484888808e-11 
   28       1.378586838810e-10       1.713251215457e-10       1.696062120934e-11 
   29       1.400019109556e-10       1.603594331865e-10       1.594007124156e-11 
   30       1.421833792392e-10       1.503458649977e-10       1.500213521570e-11 
   31       1.444047858437e-10       1.412100733512e-10       1.414686776426e-11 
   32       1.466580310895e-10       1.328075048116e-10       1.336726436671e-11 
   33       1.489425860284e-10       1.250923927452e-10       1.265675056200e-11 
   34       1.512520733921e-10       1.179964163490e-10       1.200300113543e-11 
   35       1.535751760789e-10       1.114139649950e-10       1.139018768089e-11 
   36       1.559188789963e-10       1.053279608426e-10       1.081622063216e-11 
   37       1.582917962361e-10       9.971933874824e-11       1.028066577777e-11 
   38       1.606971806884e-10       9.452900625414e-11       9.779774514397e-12 
   39       1.631340133453e-10       8.967915774014e-11       9.308269248161e-12 
   40       1.656023078189e-10       8.515494203666e-11       8.866199631424e-12 
   41       1.680985203173e-10       8.094445991883e-11       8.453895822307e-12 
   42       1.706134483908e-10       7.701439582502e-11       8.069915694959e-12 
   43       1.731367041343e-10       7.332233943062e-11       7.711749999985e-12 
   44       1.756730436702e-10       6.986260476503e-11       7.378571750278e-12 
   45       1.782302447290e-10       6.663166418164e-11       7.069080012450e-12 
   46       1.808143494947e-10       6.361439140753e-11       6.780613595871e-12 
   47       1.834294565845e-10       6.078315726031e-11       6.509049090222e-12 
   48       1.860777108335e-10       5.810633473796e-11       6.249991848249e-12 
   49       1.887597546247e-10       5.557875931290e-11       6.002983840644e-12 
   50       1.914740463810e-10       5.319830136171e-11       5.768306761004e-12 
   51       1.942164808115e-10       5.095679268972e-11       5.545757531888e-12 
   52       1.969801909832e-10       4.883960231783e-11       5.334612308962e-12 
   53       1.997582202250e-10       4.683023029157e-11       5.133938408932e-12 
   54       2.025528000617e-10       4.492645240947e-11       4.943707118633e-12 
   55       2.053681130742e-10       4.312758765331e-11       4.763904301223e-12 
   56       2.082075560416e-10       4.142963455059e-11       4.594186593539e-12 
   57       2.110736623417e-10       3.982505736058e-11       4.433859998245e-12 
   58       2.139680243511e-10       3.830257226039e-11       4.281858475985e-12 
   59       2.168916091578e-10       3.685025288381e-11       4.137032660371e-12 
   60       2.198459675597e-10       3.546617472913e-11       3.999142919793e-12 
   61       2.228321691839e-10       3.414986920714e-11       3.868059488650e-12 
   62       2.258503709060e-10       3.289912240973e-11       3.743461948934e-12 
   63       2.288997525824e-10       3.170987381641e-11       3.624828335014e-12 
   64       2.319784527838e-10       3.057611500078e-11       3.511424238422e-12 
   65       2.350844876843e-10       2.949154724377e-11       3.402504813050e-12 
   66       2.382188782722e-10       2.845518992204e-11       3.297994987427e-12 
   67       2.413830725016e-10       2.746678231724e-11       3.197934259080e-12 
   68       2.445779844970e-10       2.652507839632e-11       3.102271657968e-12 
   69       2.478039577861e-10       2.562779471832e-11       3.010860806519e-12 
   70       2.510607285343e-10       2.477155834093e-11       2.923454979678e-12 
   71       2.543473887781e-10       2.395185472728e-11       2.839702164945e-12 
   72       2.576629711950e-10       2.316418884396e-11       2.759240245968e-12 
   73       2.610084150642e-10       2.240794223985e-11       2.682014682907e-12 
   74       2.643849129869e-10       2.168316563968e-11       2.608013167432e-12 
   75       2.677933005939e-10       2.098940737240e-11       2.537168293267e-12 
   76       2.712340339700e-10       2.032568897627e-11       2.469354902156e-12 
   77       2.747071670780e-10       1.969048080399e-11       2.404387429830e-12 
   78       2.782123291824e-10       1.908167762785e-11       2.342017251978e-12 
   79       2.817487022742e-10       1.849657424480e-11       2.281930030212e-12 
   80       2.853154661181e-10       1.793253731411e-11       2.223823635670e-12 
   81       2.889132720737e-10       1.738920890649e-11       2.167663343424e-12 
   82       2.925429852127e-10       1.686664289498e-11       2.113466319186e-12 
   83       2.962052257272e-10       1.636463138781e-11       2.061223834095e-12 
   84       2.999003550129e-10       1.588269322662e-11       2.010900102863e-12 
   85       3.036284617535e-10       1.542006248485e-11       1.962431121922e-12 
   86       3.073893480039e-10       1.497567696604e-11       1.915723507565e-12 
   87       3.111825152742e-10       1.454816670210e-11       1.870653334099e-12 
   88       3.150071506135e-10       1.413584245169e-11       1.827064971988e-12 
   89       3.188624382160e-10       1.373709796316e-11       1.784809555640e-12 
   90       3.227485805940e-10       1.335171415156e-11       1.743869834918e-12 
   91       3.266659126995e-10       1.297973926551e-11       1.704252859270e-12 
   92       3.306145817485e-10       1.262108810579e-11       1.665951531363e-12 
   93       3.345945381819e-10       1.227553672240e-11       1.628944038926e-12 
   94       3.386055266255e-10       1.194271711159e-11       1.593193286604e-12 
   95       3.426470768507e-10       1.162211191288e-11       1.558646327802e-12 
   96       3.467184947349e-10       1.131304910612e-11       1.525233796537e-12 
   97       3.508188532221e-10       1.101469670851e-11       1.492869339286e-12 
   98       3.549469832835e-10       1.072605747163e-11       1.461449046833e-12 
   99       3.591017636085e-10       1.044619742334e-11       1.430876211396e-12 
  100       3.632830560380e-10       1.017497989237e-11       1.401140827265e-12 
  101       3.674908864508e-10       9.912426084321e-12       1.372250347677e-12 
  102       3.717251525036e-10       9.658488074924e-12       1.344205106253e-12 
  103       3.759856182118e-10       9.413046341560e-12       1.316998055825e-12 
  104       3.802719085317e-10       9.175907294777e-12       1.290614507251e-12 
  105       3.845835039415e-10       8.946800809804e-12       1.265031868243e-12 
  106       3.889197350227e-10       8.725377758082e-12       1.240219382186e-12 
  107       3.932797770419e-10       8.511207538772e-12       1.216137866957e-12 
  108       3.976626445323e-10       8.303775610285e-12       1.192739453753e-12 
  109       4.020671858746e-10       8.102481021794e-12       1.169967325909e-12 
  110       4.064922771877e-10       7.906771881455e-12       1.147768843397e-12 
  111       4.109374438253e-10       7.716576761538e-12       1.126137385699e-12 
  112       4.154023086465e-10       7.531924141052e-12       1.105075400051e-12 
  113       4.198863963977e-10       7.352808304308e-12       1.084581366314e-12 
  114       4.243891302526e-10       7.179188228086e-12       1.064649667351e-12 
  115       4.289098283524e-10       7.010986468795e-12       1.045270459402e-12 
  116       4.334477003463e-10       6.848088049635e-12       1.026429542465e-12 
  117       4.380018439317e-10       6.690339347762e-12       1.008108230663e-12 
  118       4.425712413944e-10       6.537546981452e-12       9.902832226323e-13 
  119       4.471547561488e-10       6.389476697261e-12       9.729264718878e-13 
  120       4.517511292786e-10       6.245852257190e-12       9.560050572063e-13 
  121       4.563589760765e-10       6.106354325846e-12       9.394810530003e-13 
  122       4.609767825848e-10       5.970619357608e-12       9.233113996946e-13 
  123       4.656030865789e-10       5.838318048068e-12       9.074579842041e-13 
  124       4.702370514293e-10       5.709403263856e-12       8.919194687582e-13 
  125       4.748779519528e-10       5.583888630858e-12       8.767028913720e-13 
  126       4.795249938863e-10       5.461771039255e-12       8.618137344720e-13 
  127       4.841773118782e-10       5.343030156681e-12       8.472558756033e-13 
  128       4.888339674799e-10       5.227627941385e-12       8.330315381375e-13 
  129       4.934939471372e-10       5.115508155392e-12       8.191412419803e-13 
  130       4.981561601818e-10       5.006595877661e-12       8.055837542788e-13 
  131       5.028194368226e-10       4.900797017248e-12       7.923560401289e-13 
  132       5.074825261375e-10       4.797997826466e-12       7.794532132836e-13 
  133       5.121440940644e-10       4.698064414043e-12       7.668684868599e-13 
  134       5.168027213928e-10       4.600842258287e-12       7.545931240465e-13 
  135       5.214569017554e-10       4.506155720242e-12       7.426163888117e-13 
  136       5.261050396193e-10       4.413807556851e-12       7.309254966104e-13 
  137       5.307455888067e-10       4.323620773768e-12       7.195081734064e-13 
  138       5.353774884850e-10       4.235570102251e-12       7.083607359423e-13 
  139       5.399997686945e-10       4.149663267658e-12       6.974807580412e-13 
  140       5.446114127606e-10       4.065899654451e-12       6.868645048830e-13 
  141       5.492113561780e-10       3.984270088095e-12       6.765069002671e-13 
  142       5.537984854933e-10       3.904756616954e-12       6.664014938759e-13 
  143       5.583716371889e-10       3.827332294192e-12       6.565404285377e-13 
  144       5.629295965664e-10       3.751960959670e-12       6.469144074893e-13 
  145       5.674710966298e-10       3.678597021844e-12       6.375126616399e-13 
  146       5.719948169689e-10       3.607185239666e-12       6.283229168334e-13 
  147       5.764993826431e-10       3.537660504477e-12       6.193313611115e-13 
  148       5.809833630642e-10       3.469947621911e-12       6.105226119772e-13 
  149       5.854452708803e-10       3.403961093790e-12       6.018796836574e-13 
  150       5.898835608589e-10       3.339604900024e-12       5.933839543662e-13 
  151       5.942966287706e-10       3.276772280508e-12       5.850151335678e-13 
  152       5.986828102722e-10       3.215345517020e-12       5.767512292394e-13 
  153       6.030405018490e-10       3.155220270949e-12       5.685736045050e-13 
  154       6.073685386390e-10       3.096381600602e-12       5.604827452307e-13 
  155       6.116658497570e-10       3.038834625775e-12       5.524839022291e-13 
  156       6.159313389012e-10       2.982580514618e-12       5.445821268310e-13 
  157       6.201638838577e-10       2.927616390591e-12       5.367822640687e-13 
  158       6.243623360062e-10       2.873935239429e-12       5.290889458585e-13 
  159       6.285255198247e-10       2.821525816095e-12       5.215065841839e-13 
  160       6.326522323944e-10       2.770372551747e-12       5.140393642786e-13 
  161       6.367412429052e-10       2.720455460692e-12       5.066912378091e-13 
  162       6.407912921603e-10       2.671750047351e-12       4.994659160580e-13 
  163       6.448010920813e-10       2.624227213213e-12       4.923668631067e-13 
  164       6.487693252137e-10       2.577853163801e-12       4.853972890181e-13 
  165       6.526946442314e-10       2.532589315628e-12       4.785601430203e-13 
  166       6.565756714418e-10       2.488392203157e-12       4.718581066886e-13 
  167       6.604109982914e-10       2.445213385761e-12       4.652935871290e-13 
  168       6.641991848701e-10       2.402999354686e-12       4.588687101612e-13 
  169       6.679387594167e-10       2.361691440005e-12       4.525853135008e-13 
  170       6.716282178239e-10       2.321225717584e-12       4.464449399433e-13 
  171       6.752661224255e-10       2.281545941801e-12       4.404483875352e-13 
  172       6.788514086388e-10       2.242643748576e-12       4.345943322738e-13 
  173       6.823831030610e-10       2.204521641837e-12       4.288805769693e-13 
  174       6.858602263989e-10       2.167180229897e-12       4.233044753584e-13 
  175       6.892817933797e-10       2.130618185561e-12       4.178629234800e-13 
  176       6.926468126605e-10       2.094832206228e-12       4.125523510506e-13 
  177       6.959542867384e-10       2.059816973999e-12       4.073687128399e-13 
  178       6.992032118612e-10       2.025565115777e-12       4.023074800456e-13 
  179       7.023925779368e-10       1.992067163378e-12       3.973636316700e-13 
  180       7.055213684439e-10       1.959311513627e-12       3.925316458942e-13 
  181       7.085885603417e-10       1.927284388470e-12       3.878054914546e-13 
  182       7.115931239802e-10       1.895969795077e-12       3.831786190178e-13 
  183       7.145340230102e-10       1.865349485941e-12       3.786439525560e-13 
  184       7.174102142938e-10       1.835402918990e-12       3.741938807230e-13 
  185       7.202206478138e-10       1.806107217687e-12       3.698202482288e-13 
  186       7.229642665845e-10       1.777437131138e-12       3.655143472161e-13 
  187       7.256400065615e-10       1.749364994190e-12       3.612669086347e-13 
  188       7.282467965518e-10       1.721860687545e-12       3.570680936178e-13 
  189       7.307835581241e-10       1.694891597855e-12       3.529074848571e-13 
  190       7.332492055186e-10       1.668422577834e-12       3.487740779780e-13 
  191       7.356427188435e-10       1.642422893760e-12       3.446585696924e-13 
  192       7.379633699832e-10       1.616887733118e-12       3.405604319040e-13 
  193       7.402105135006e-10       1.591818237120e-12       3.364813528361e-13 
  194       7.423835150243e-10       1.567214641463e-12       3.324229868698e-13 
  195       7.444817513979e-10       1.543076259295e-12       3.283869534360e-13 
  196       7.465046108302e-10       1.519401464185e-12       3.243748359053e-13 
  197       7.484514930454e-10       1.496187673097e-12       3.203881804800e-13 
  198       7.503218094324e-10       1.473431329350e-12       3.164284950849e-13 
  199       7.521149831954e-10       1.451127885595e-12       3.124972482582e-13 
  200       7.538304495033e-10       1.429271786780e-12       3.085958680429e-13 
  201       7.554676556399e-10       1.407856453121e-12       3.047257408777e-13 
  202       7.570260611537e-10       1.386874263071e-12       3.008882104879e-13 
  203       7.585051380079e-10       1.366316536284e-12       2.970845767771e-13 
  204       7.599043707303e-10       1.346173516594e-12       2.933160947175e-13 
  205       7.612232565633e-10       1.326434354975e-12       2.895839732418e-13 
  206       7.624613056136e-10       1.307087092515e-12       2.858893741334e-13 
  207       7.636180410024e-10       1.288118643382e-12       2.822334109185e-13 
  208       7.646929990151e-10       1.269514777796e-12       2.786171477561e-13 
  209       7.656857292514e-10       1.251260104995e-12       2.750415983300e-13 
  210       7.665957947753e-10       1.233338056209e-12       2.715077247395e-13 
  211       7.674227722644e-10       1.215730867624e-12       2.680164363903e-13 
  212       7.681662521609e-10       1.198419563350e-12       2.645685888860e-13 
  213       7.688258769783e-10       1.181387659271e-12       2.611649414877e-13 
  214       7.694014587920e-10       1.164632588121e-12       2.578060285989e-13 
  215       7.698928699766e-10       1.148155013381e-12       2.544922774553e-13 
  216       7.703000060100e-10       1.131955170558e-12       2.512240475653e-13 
  217       7.706227857236e-10       1.116032859942e-12       2.480016294921e-13 
  218       7.708611515531e-10       1.100387439380e-12       2.448252436355e-13 
  219       7.710150697884e-10       1.085017817036e-12       2.416950390141e-13 
  220       7.710845308245e-10       1.069922444154e-12       2.386110920474e-13 
  221       7.710695494113e-10       1.055099307826e-12       2.355734053377e-13 
  222       7.709701649045e-10       1.040545923757e-12       2.325819064519e-13 
  223       7.707864415155e-10       1.026259329028e-12       2.296364467038e-13 
  224       7.705184685623e-10       1.012236074858e-12       2.267367999363e-13 
  225       7.701663607194e-10       9.984722193762e-13       2.238826613028e-13 
  226       7.697302582685e-10       9.849633203794e-13       2.210736460499e-13 
  227       7.692103273489e-10       9.717044281004e-13       2.183092882987e-13 
  228       7.686067602074e-10       9.586900779718e-13       2.155890398275e-13 
  229       7.679197754494e-10       9.459142833908e-13       2.129122688535e-13 
  230       7.671496182886e-10       9.333705284837e-13       2.102782588146e-13 
  231       7.662965607980e-10       9.210517608709e-13       2.076862071520e-13 
  232       7.653609021597e-10       9.089503844315e-13       2.051352240915e-13 
  233       7.643429689157e-10       8.970582520679e-13       2.026243314261e-13 
  234       7.632431152181e-10       8.853666584705e-13       2.001524612977e-13 
  235       7.620617230795e-10       8.738663328826e-13       1.977184549792e-13 
  236       7.607992026234e-10       8.625474318649e-13       1.953210616567e-13 
  237       7.594559923346e-10       8.513995320603e-13       1.929589372110e-13 
  238       7.580325537955e-10       8.404136360585e-13       1.906308674824e-13 
  239       7.565293550236e-10       8.295883397945e-13       1.883364555902e-13 
  240       7.549468866103e-10       8.189240247603e-13       1.860754738908e-13 
  241       7.532856673813e-10       8.084208755380e-13       1.838476425007e-13 
  242       7.515462446357e-10       7.980788768111e-13       1.816526285516e-13 
  243       7.497291943841e-10       7.878978103765e-13       1.794900454462e-13 
  244       7.478351215883e-10       7.778772521556e-13       1.773594521139e-13 
  245       7.458646603990e-10       7.680165692062e-13       1.752603522661e-13 
  246       7.438184743956e-10       7.583149167344e-13       1.731921936522e-13 
  247       7.416972568239e-10       7.487712351054e-13       1.711543673148e-13 
  248       7.395017308358e-10       7.393842468559e-13       1.691462068453e-13 
  249       7.372326497272e-10       7.301524537052e-13       1.671669876400e-13 
  250       7.348907971776e-10       7.210741335669e-13       1.652159261550e-13 
  251       7.324769874880e-10       7.121473375609e-13       1.632921791622e-13 
  252       7.299920658203e-10       7.033698870242e-13       1.613948430048e-13 
  253       7.274369084357e-10       6.947393705233e-13       1.595229528530e-13 
  254       7.248124229337e-10       6.862531408652e-13       1.576754819593e-13 
  255       7.221195484904e-10       6.779083121096e-13       1.558513409142e-13 
  256       7.193592560978e-10       6.697017565797e-13       1.540493769023e-13 
