# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       1.000000000000e-07       3.326791588210e-09 
       1.011579454260e-07       3.325447491069e-09 
       1.023292992281e-07       3.324103936974e-09 
       1.035142166679e-07       3.322760925704e-09 
       1.047128548051e-07       3.321418457040e-09 
       1.059253725177e-07       3.320076530763e-09 
       1.071519305238e-07       3.318735146653e-09 
       1.083926914021e-07       3.317394304493e-09 
       1.096478196143e-07       3.316054004062e-09 
       1.109174815262e-07       3.314714245142e-09 
       1.122018454302e-07       3.313375027515e-09 
       1.135010815672e-07       3.312036350960e-09 
       1.148153621497e-07       3.310698215261e-09 
       1.161448613840e-07       3.309360620198e-09 
       1.174897554940e-07       3.308023565553e-09 
       1.188502227437e-07       3.306687051107e-09 
       1.202264434617e-07       3.305351076643e-09 
       1.216186000646e-07       3.304015641942e-09 
       1.230268770812e-07       3.302680746786e-09 
       1.244514611771e-07       3.301346390957e-09 
       1.258925411794e-07       3.300012574237e-09 
       1.273503081017e-07       3.298679296408e-09 
       1.288249551693e-07       3.297346557253e-09 
       1.303166778452e-07       3.296014356554e-09 
       1.318256738556e-07       3.294682694094e-09 
       1.333521432163e-07       3.293351569654e-09 
       1.348962882592e-07       3.292020983019e-09 
       1.364583136589e-07       3.290690933969e-09 
       1.380384264603e-07       3.289361422289e-09 
       1.396368361056e-07       3.288032447760e-09 
       1.412537544623e-07       3.286704010167e-09 
       1.428893958511e-07       3.285376109292e-09 
       1.445439770746e-07       3.284048744918e-09 
       1.462177174457e-07       3.282721916828e-09 
       1.479108388168e-07       3.281395624807e-09 
       1.496235656094e-07       3.280069868636e-09 
       1.513561248436e-07       3.278744648100e-09 
       1.531087461682e-07       3.277419962983e-09 
       1.548816618912e-07       3.276095813067e-09 
       1.566751070108e-07       3.274772198137e-09 
       1.584893192461e-07       3.273449117977e-09 
       1.603245390690e-07       3.272126572371e-09 
       1.621810097359e-07       3.270804561102e-09 
       1.640589773200e-07       3.269483083954e-09 
       1.659586907438e-07       3.268162140713e-09 
       1.678804018123e-07       3.266841731162e-09 
       1.698243652462e-07       3.265521855085e-09 
