# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]                 7:SD[e_0]                8:SD[e_1]            
       5.282594766043e-01       3.000000000000e+01      -2.004799403206e+00       0.000000000000e+00      -4.938512127492e-01      -2.020584141211e+00       5.140464945588e-01      -4.410543805045e-03 
       7.923892149064e-01       4.500000000000e+01      -3.076067595564e+00       0.000000000000e+00      -1.047917332063e+00      -2.477275570505e+00       4.509553216632e-01      -1.830014659400e-03 
       1.056518953209e+00       6.000000000000e+01      -3.995196131406e+00       0.000000000000e+00      -1.715059115383e+00      -2.574447372884e+00       2.938102985658e-01       5.000582951992e-04 
       1.320648691511e+00       7.500000000000e+01      -4.643562903101e+00       0.000000000000e+00      -2.406262625557e+00      -2.346610606103e+00       1.074226968860e-01       1.887631672898e-03 
       1.584778429813e+00       9.000000000000e+01      -4.936411531962e+00       0.000000000000e+00      -3.030772451388e+00      -1.845025964528e+00      -6.288594652890e-02       2.272830482347e-03 
       1.848908168115e+00       1.050000000000e+02      -4.828011627189e+00       0.000000000000e+00      -3.507619833279e+00      -1.132044622616e+00      -1.902414928461e-01       1.894321551838e-03 
       2.113037906417e+00       1.200000000000e+02      -4.311881688007e+00       0.000000000000e+00      -3.774673316354e+00      -2.750999764423e-01      -2.631924620537e-01       1.084066842664e-03 
       2.377167644719e+00       1.350000000000e+02      -3.417483345477e+00       0.000000000000e+00      -3.794140888435e+00       6.589068247089e-01      -2.824011674234e-01       1.518856727022e-04 
       2.641297383021e+00       1.500000000000e+02      -2.202961427050e+00       0.000000000000e+00      -3.554261678082e+00       1.608306768400e+00      -2.563345019753e-01      -6.720153931163e-04 
       2.905427121324e+00       1.650000000000e+02      -7.463333270467e-01       0.000000000000e+00      -3.067560361141e+00       2.520116949436e+00      -1.976385007368e-01      -1.251414605050e-03 
       3.169556859626e+00       1.800000000000e+02       8.639317926059e-01       0.000000000000e+00      -2.366543080015e+00       3.352134990598e+00      -1.201250890399e-01      -1.535028937710e-03 
       3.433686597928e+00       1.950000000000e+02       2.537746246087e+00       0.000000000000e+00      -1.497870903346e+00       4.073760043347e+00      -3.660696055829e-02      -1.535933355180e-03 
       3.697816336230e+00       2.100000000000e+02       4.190774201402e+00       0.000000000000e+00      -5.160949134752e-01       4.665738027425e+00       4.243965306621e-02      -1.308565613615e-03 
       3.961946074532e+00       2.250000000000e+02       5.749813593275e+00       0.000000000000e+00       5.222262889813e-01       5.119089307308e+00       1.094231047937e-01      -9.251078077957e-04 
       4.226075812834e+00       2.400000000000e+02       7.156271131764e+00       0.000000000000e+00       1.563428664643e+00       5.433548428011e+00       1.597568248028e-01      -4.627856928101e-04 
